graph,vertex_num,constant,congestion,real_congestion,avg_route_len,delta,dan,most_congested_route,ratio
erdos-renyi,35,9,28.0,0.018970189701897018,0.8678861788617886,48,48,"[T10 W: 0, T8 W: 18.0, T22 W: 0]",0.25
erdos-renyi,35,9,25.0,0.01775568181818182,0.9254261363636364,48,48,"[T7 W: 0, T25 W: 9.0, T15 W: 0]",0.25
erdos-renyi,35,9,24.0,0.016129032258064516,0.8252688172043011,48,48,"[T5 W: 0, T21 W: 15.0, T10 W: 0]",0.25
erdos-renyi,35,9,32.0,0.021361815754339118,1.0100133511348464,48,48,"[T8 W: 0, T9 W: 17.0, T27 W: 0]",0.25
erdos-renyi,35,9,35.0,0.023458445040214475,1.054289544235925,48,48,"[T7 W: 0, T30 W: 17.0, T11 W: 0]",0.25
erdos-renyi,35,12,30.0,0.016722408026755852,0.9386845039018952,48,48,"[T1 W: 0, T32 W: 16.0, T28 W: 0]",0.33
erdos-renyi,35,12,23.0,0.012130801687763712,0.8976793248945147,48,48,"[T1 W: 0, T25 W: 16.0, T2 W: 0]",0.33
erdos-renyi,35,12,31.0,0.014961389961389961,0.9966216216216216,48,48,"[T22 W: 0, T6 W: 13.0, T25 W: 0]",0.33
erdos-renyi,35,12,29.0,0.013205828779599272,0.9330601092896175,48,48,"[T4 W: 0, T34 W: 11.0, T33 W: 0]",0.33
erdos-renyi,35,12,25.0,0.012159533073929961,1.16147859922179,48,48,"[T9 W: 0, T31 W: 11.0, T19 W: 0]",0.33
erdos-renyi,35,16,31.0,0.010734072022160665,1.0003462603878117,48,48,"[T2 W: 0, T12 W: 14.0, T33 W: 0]",0.45
erdos-renyi,35,16,31.0,0.011886503067484663,0.9378834355828221,48,48,"[T16 W: 0, T29 W: 17.0, T28 W: 0]",0.45
erdos-renyi,35,16,34.0,0.013428120063191154,1.0916271721958926,48,48,"[T21 W: 0, T15 W: 18.0, T33 W: 0]",0.45
erdos-renyi,35,16,33.0,0.01186196980589504,0.9701653486700216,48,48,"[T23 W: 0, T33 W: 18.0, T28 W: 0]",0.45
erdos-renyi,35,16,30.0,0.01038781163434903,0.9186288088642659,48,48,"[T23 W: 0, T10 W: 13.0, T30 W: 0]",0.45
erdos-renyi,50,13,52.0,0.015931372549019607,1.0193014705882353,10,10,"[T19 W: 0, T23 W: 14.0, T36 W: 12.0, T29 W: 0]",0.25
erdos-renyi,50,13,44.0,0.013505217925107428,0.9223449969306323,10,10,"[T24 W: 0, T14 W: 16.0, T12 W: 3.0, T4 W: 10.0, T46 W: 0]",0.25
erdos-renyi,50,13,50.0,0.015586034912718205,0.9940773067331671,10,10,"[T17 W: 0, T23 W: 16.0, T40 W: 12.0, T48 W: 0]",0.25
erdos-renyi,50,13,49.0,0.015030674846625767,0.9138036809815951,10,10,"[T7 W: 0, T33 W: 9.0, T29 W: 14.0, T21 W: 0]",0.25
erdos-renyi,50,13,46.0,0.015262110152621102,0.8098871930988719,10,10,"[T21 W: 0, T38 W: 14.0, T20 W: 10.0, T37 W: 0]",0.25
erdos-renyi,50,17,60.0,0.013856812933025405,0.9570438799076213,10,10,"[T35 W: 0, T46 W: 14.0, T25 W: 4.0, T46 W: 5.0, T42 W: 0]",0.33
erdos-renyi,50,17,60.0,0.014218009478672985,0.9964454976303317,10,10,"[T1 W: 0, T48 W: 12.0, T45 W: 12.0, T42 W: 0]",0.33
erdos-renyi,50,17,72.0,0.017110266159695818,1.0522813688212929,10,10,"[T18 W: 0, T0 W: 15.0, T40 W: 16.0, T38 W: 0]",0.33
erdos-renyi,50,17,67.0,0.014975413500223514,1.0728654447921324,10,10,"[T22 W: 0, T26 W: 18.0, T48 W: 3.0, T23 W: 12.0, T49 W: 0]",0.33
erdos-renyi,50,17,65.0,0.015395547134059688,0.9748934154429181,10,10,"[T20 W: 0, T1 W: 11.0, T46 W: 4.0, T2 W: 10.0, T45 W: 0]",0.33
